"year","sampleSize2N","medionigraAlleleCnt"
1940,234,26
1941,922,63
1942,410,22
1943,538,30
1944,992,45
1945,744,48
1946,1972,84
1947,2682,100
1948,1932,69
1949,1016,29
1950,2388,88
1951,1162,29
1952,3042,108
1953,2178,56
1954,2328,67
1955,630,7
1956,2616,78
1957,3224,148
1958,2766,102
1959,960,21
1960,378,7
1961,344,7
1962,46,1
1963,118,1
1964,62,0
1965,162,2
1966,74,0
1967,100,0
1968,262,3
1969,1092,38
1970,950,31
1971,1292,9
1972,680,5
1973,462,1
1974,1694,11
1975,114,2
1976,340,3
1977,24,0
1978,80,1
1988,1244,6
1989,1634,19
1990,1050,7
1991,4132,34
1992,4580,45
1993,966,23
1994,452,8
1995,284,8
1996,664,10
1997,910,17
1998,828,5
1999,838,11
